,Unnamed: 0,Tags,Name,compound_sf,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],compound_mw,compound_rt,Area_Max,# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass Defect: Standard MD,Mass Defect: Relative MD,Mass Defect: Kendrick MD [H2],Mass Defect: Kendrick MD [C H2],Mass Defect: Kendrick MD [C2 H4],Mass Defect: Kendrick MD [C H3 O],Mass Defect: Kendrick MD [O],MS2,Neutral Losses,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,NrC,NrH,NrN,NrO,NrP,NrS,NrBr,NrCl,H/C,O/C,N/C,P/C,S/C,Br/C,Cl/C,DBE,Ox#C,DU,DBEAI,CAI,AI,AIcolor,NKM,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,MolClass,good_pos_CV,good_neg_CV,sum_pos,sum_neg,Kat-3,CV_Kat-3,Kat-6,CV_Kat-6,P_value_Kat-6/Kat-3,Log2_Kat-6/Kat-3,Reg_Kat-6/Kat-3,compound_mq,compound_name,compound_folder,id_as_str,compound_id,compound_iso_smiles,compound_can_smiles,compound_name_iupac,compound_xlogp,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
64,64,,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,Full match,-0.57,176.04724,7.548,10042610.4894443,483,15,82.0,51.3,0.0472430233202772,268,-0.319636064882928,-0.14933365377675,-0.14933365377675,-0.0571290687486226,0.103215228990621,DDA for preferred ion,CO;H2O,0.0,8625244.46534707,0.0,605705.317426679,1000.0,23.2394370058524,1000.0,65.9611325787563,10,8,0,3,0,0,0,0,0.8,0.3,0.0,0.0,0.0,0,0.0,7.0,-0.2,7.0,4.0,7,0.571428571428571,darkorange,176,0.14933672967958955,0.014734290871757594,0.05758468559525909,-0.07921963634530016,0.31963945124206816,-0.08794337187191559,0.05602624942545731,-0.1032119892443859,-0.1032119892443859,-0.20102398967338786,-0.1684079190628438,-0.20404810054498057,-0.2294322331490548,0.2272663576241598,CHO,1,0,9230949.78277375,0.0,8625244.46534707,23.2394370058524,605705.317426679,65.9611325787563,0.0024485777211716,-3.83187736583551,#a6611a,0.82,4-Methylumbelliferone hydrate,Ruthenium2,0064,Ruthenium2_0064,CC1=CC(=O)OC2=C1C=CC(=C2)O.O,CC1=CC(=O)OC2=C1C=CC(=C2)O.O,7-hydroxy-4-methylchromen-2-one;hydrate,,0.14933672967958955,0.2028723980775453,0.12135397941517567,0.042594437451754175,0.29648142394555066,-0.06962452557201004,-0.0029681964919348047,0.07974049583199871,C6 O3,4,8.560769090758033,C7 H2,3,2.866178992967529,C6 O,2,1.9986936220218208,C7 H8,3,3.2885472775645876,C10 O3,4,83.34023192845913,C7 H8,3,2.092815586015669,C10 H2,3,6.774670989225091,C10 H8,3,8.006457258681058,C10 H8 O,1,4.503228629340529,C10 H8 O3,0,5.506285256161662,C10 H8 O3,0,3.6701773355681895,C10 H8 O3,0,5.034404351709522,C10 H8 O3,0,2.230753626043669,C10 H8 O3,0,10.339578682151727,C6 O3,2,4.280384545379016,C7 O3,1,2.9953916266034737,C7 O2,1,1.9313125006237704,C5 H2 O2,1,1.1458232881215737,C8 O3,2,8.981476405582708,C4 H8,3,1.4017432163840122,C4 H2,3,1.1905493401633107,C7 H2 O2,1,2.033109716303795
65,65,,,C15 H28 O2,Full match,No results,Partial match,-1.45,240.20858,9.531,9946203.76182575,899,0,,,0.208581972548672,868,0.343536647972201,-0.0596381031732562,-0.0596381031732562,0.0661709253614333,0.284953541469889,No MS2,,2690746.79220039,0.0,8381168.70629167,0.0,21.1783951363346,1000.0,26.407937588276,1000.0,15,28,0,2,0,0,0,0,1.86666666666666,0.133333333333333,0.0,0.0,0.0,0,0.0,2.0,-1.6,2.0,0.0,13,0.0,royalblue,240,0.05964014987213773,-0.12401885375987831,-0.06555140792562497,-0.2522147825471279,-0.34353416335963516,-0.2641179292431275,-0.067677824331696,-0.28495127430213074,-0.28495127430213074,-0.4184113713193369,-0.3739082027008749,-0.4225376352598289,-0.4571731481332506,0.16597163946826754,CHO,0,1,0.0,11071915.498492,2690746.79220039,21.1783951363346,8381168.70629167,26.407937588276,0.0125213849315737,1.63914479837682,#d9d9d9,0.0,None,Ruthenium2,0065,Ruthenium2_0065,None,None,None,,0.05964014987213773,0.1326871734166275,0.02145893950208233,-0.0860049306300823,0.2604124997490942,-0.2391226833254052,-0.14817310549426566,-0.03532079643903785,C O2,14,3.138622114338216,C13 H24,2,6.004145629069292,C11 H20,2,3.4560432122958877,C13 H28,2,6.580448749561844,C15 O2,14,105.17194079317179,C13 H28,2,4.187765765149432,C15 H24,2,11.337112653362484,C15 H28,2,13.017831345450325,C15 H28,1,6.508915672725163,C15 H28 O2,0,7.513086306836293,C15 H28 O2,0,5.0077970538598455,C15 H28 O2,0,6.869225373963329,C15 H28 O2,0,3.0437661221781855,C15 H28 O2,0,14.107904585655536,C O2,7,1.569311057169108,C6 H4 O2,3,2.451537783425297,C9 H12,2,1.9996481811126696,C5 H16,2,0.9278823767504604,C8 O2,7,7.98374605988756,C11 H28,2,4.005986821735653,C11 H24,2,3.7178219799767085,C9 H16,2,2.1385460463011494
67,67,,,C22 H42 O4,Full match,No results,Partial match,-0.31,370.3082,11.814,9829977.70016155,20,0,,,0.308195579368942,832,0.433021165756259,-0.105295443487591,-0.105295443487591,0.0886531405375877,0.425930831159462,No MS2,,1341804.17527149,0.0,9597096.11632941,0.0,26.5568156426637,1000.0,3.43170778212825,1000.0,22,42,0,4,0,0,0,0,1.9090909090909,0.181818181818181,0.0,0.0,0.0,0,0.0,2.0,-1.54545454545454,2.0,-2.0,18,0.0,royalblue,370,0.10529114549899532,-0.17783960298947932,-0.08770554272621212,-0.37546786271502697,-0.43302473905055194,-0.39381788513026095,-0.09098364974380502,-0.4259347999747547,-0.4259347999747547,0.368321640414365,0.4369282166882158,0.3619605463496782,0.3085660571593394,0.2692129442776263,CHO,0,1,0.0,10938900.2916009,1341804.17527149,26.5568156426637,9597096.11632941,3.43170778212825,7.89651397102478e-06,2.83842380402848,#d9d9d9,0.0,None,Ruthenium2,0067,Ruthenium2_0067,None,None,None,,0.10529114549899532,0.2179012437899246,0.046430569886126705,-0.11923691923391289,0.41480401757337404,-0.35528493795430904,-0.21507606424376036,-0.0411016981654484,C O4,21,5.421058468842941,C18 H34,4,8.339264979875505,C14 H26,4,4.411086711574283,C18 H42,4,9.227699204093087,C22 O4,21,162.7165668591125,C18 H42,4,5.8724631539104,C22 H34,4,16.56061630095879,C22 H42,4,19.151627791677154,C22 H42,2,9.575813895838577,C22 H42 O4,0,11.582243383983375,C22 H42 O4,0,7.720066285225952,C22 H42 O4,0,10.58966141095484,C22 H42 O4,0,4.692298023904383,C22 H42 O4,0,21.748876277435528,C2 H2 O4,10,3.210529234421471,C7 H2 O4,5,3.404141100729786,C10 H10,4,2.1658946526145315,C2 H18,4,0.5136505694527829,C12 H2 O4,10,13.099081599995408,C14 H42,4,5.258884869596487,C14 H34,4,4.814647282584847,C10 H18,4,2.3800208870842265
68,68,,,C15 H14 O4,Full match,No results,Partial match,-0.92,258.08897,6.73,9713396.58724441,3268,0,,,0.0889721866406035,345,0.0850986074840989,-0.199213368989604,-0.199213368989604,-0.0640395021789573,0.171028620949926,DDA for preferred ion,CH3OH;CO;CO2,8662517.23910835,0.0,112944.676575907,0.0,17.1563044035547,1000.0,34.7726129780455,1000.0,15,14,0,4,0,0,0,0,0.933333333333333,0.266666666666666,0.0,0.0,0.0,0,0.0,9.0,-0.4,9.0,5.0,11,0.454545454545454,royalblue,258,0.1992156352247889,0.0018856186258062735,0.06470520181426309,-0.13585282193650983,-0.0850958711853309,-0.14864200236684155,0.062420501492510994,-0.17102611773827903,-0.17102611773827903,-0.3144205750689366,-0.2666047270652143,-0.3188539854423311,-0.3560676596704866,0.3134621147986536,CHO,0,1,0.0,8775461.91568425,8662517.23910835,17.1563044035547,112944.676575907,34.7726129780455,0.000570657833712184,-6.26109813946542,#a6611a,0.0,None,Ruthenium2,0068,Ruthenium2_0068,None,None,None,,0.1992156352247889,0.27770005517413665,0.158192332652618,0.04272918160853578,0.4149328630782634,-0.12178618700085053,-0.02406660152900031,0.09718608730571532,C8 O4,7,11.414358787677376,C11 H6,4,4.599945107558777,C9 H2 O,3,2.8621712178504253,C11 H14,4,5.219146135529962,C15 O4,7,121.04266647278531,C11 H14,4,3.3214393640159634,C15 H6,4,10.329878793769756,C15 H14,4,12.135704070200179,C15 H14,2,6.067852035100089,C15 H14 O4,0,8.072333116040094,C15 H14 O4,0,5.380559246271105,C15 H14 O4,0,7.380545517936018,C15 H14 O4,0,3.2703329979296187,C15 H14 O4,0,15.158045673067303,C9 H2 O4,3,6.207179393838689,C12 H6 O4,1,4.857330421247179,C12 H6 O3,1,3.297367439467222,C5 H2 O2,2,1.1458232881215737,C12 H2 O4,3,13.099081599995408,C7 H14,4,2.4530506286720213,C7 H6,4,2.1434358445462807,C9 H2 O2,2,2.446604356376856
69,69,,,C18 H14,Full match,No results,Partial match,-0.96,230.10933,11.521,9613574.26709213,91,0,,,0.109330446282684,475,0.322698480988009,-0.147612671776614,-0.147612671776614,-0.0270931171358484,0.182491073789322,DDA for preferred ion,C2H5;CH3;CH3CH=CH2;CH4;H2;H2C=CH2,0.0,8115867.90407751,0.0,10476.0234312029,1000.0,26.0979685236574,1000.0,15.8132640273246,18,14,0,0,0,0,0,0,0.777777777777777,0.0,0.0,0.0,0.0,0,0.0,12.0,-0.777777777777777,12.0,12.0,18,0.666666666666666,darkorange,230,0.14761319070362333,-0.028324114592606975,0.02768514530865218,-0.15113021619799838,-0.32269753296401404,-0.1625329109356244,0.025648131249852213,-0.18249034573329936,-0.18249034573329936,-0.3103392906226361,-0.2677071984897452,-0.3142920712882642,-0.3474713801269331,0.2494741143594581,CH,1,0,8126343.92750871,0.0,8115867.90407751,26.0979685236574,10476.0234312029,15.8132640273246,0.0026877651603724,-9.59751038178102,#a6611a,0.0,None,Ruthenium2,0069,Ruthenium2_0069,None,None,None,,0.14761319070362333,0.2175890493774375,0.11103725849983448,0.008091563740208585,0.3399443343817836,-0.13858855686089555,-0.05146283296502929,0.056644750975777924,C11,7,9.418043358168399,C18 H14,0,7.6676181496068905,C18 H14,0,5.226648526696523,C18 H14,0,8.219691096695135,C18,7,107.1614581362699,C18 H14,0,5.230971668480126,C18 H14,0,12.776365121703183,C18 H14,0,14.386419429190186,C18 H14,0,7.193209714595093,C18 H14,0,7.197204997950475,C18 H14,0,4.797248495863324,C18 H14,0,6.580414649110506,C18 H14,0,2.91579357037333,C18 H14,0,13.514749764300946,C12 H2,3,5.209021679084199,C15 H6,1,4.2223325247419305,C18 H14,0,3.8314863830267023,C18 H14,0,2.8047820582315444,C15 H2,3,11.353767230401298,C18 H14,0,5.7534702259027855,C18 H14,0,5.477421029255872,C18 H14,0,3.964544405883375
71,71,,,C16 H14 O3,Full match,No results,Partial match,-1.69,254.09386,7.173,9551080.64581599,2532,0,,,0.0938645674408178,369,0.121010099779738,-0.189859998247471,-0.189859998247471,-0.0567785654554029,0.174650803015396,DDA for other ion,CO2,8318636.70424066,0.0,512483.302253787,0.0,20.9522184825295,1000.0,28.6964329017818,1000.0,16,14,0,3,0,0,0,0,0.875,0.1875,0.0,0.0,0.0,0,0.0,10.0,-0.5,10.0,7.0,13,0.538461538461538,darkorange,254,0.18986464135457481,-0.004410788593077086,0.05743637355396913,-0.14001709533630446,-0.1210050099372495,-0.15260830456841745,0.05518703944366621,-0.1746459231362394,-0.1746459231362394,-0.3158206938587398,-0.2687450153109694,-0.3201854768819601,-0.3568230988981611,0.30234263290270746,CHO,0,1,0.0,8831120.00649444,8318636.70424066,20.9522184825295,512483.302253787,28.6964329017818,0.00150829089399024,-4.02077020779447,#a6611a,0.0,None,Ruthenium2,0071,Ruthenium2_0071,None,None,None,,0.18986464135457481,0.26713415509939864,0.14947636245796048,0.035800533008284674,0.4022426561678287,-0.1261682060636531,-0.029961279165036103,0.0894144684362459,C9 O3,7,11.129326370258505,C13 H8,3,5.4668281648544,C10 H2,3,2.7714317654039258,C13 H14,3,6.076444695862868,C16 O3,7,119.06071797388243,C13 H14,3,3.867020022434296,C16 H8,3,11.108069278651538,C16 H14,3,12.885942523196848,C16 H14 O,1,6.942971261598425,C16 H14 O3,0,7.947382980724221,C16 H14 O3,0,5.297274575503399,C16 H14 O3,0,7.266303433533108,C16 H14 O3,0,3.2197121247885803,C16 H14 O3,0,14.92341711763635,C10 H2 O3,3,6.064663185129253,C13 H6 O3,1,4.766665898586394,C13 H6 O2,1,3.2308492921924894,C6 H2 O,2,1.0971296775036514,C13 H2 O3,3,12.84988692536242,C10 H14,3,3.353165064280412,C10 H8,3,3.048342749520861,C10 H2 O,2,2.3777761987626183
72,72,,,C16 H14,Full match,No results,Partial match,-0.87,206.10937,10.499,9526572.98386125,166,0,,,0.109370215327516,531,-0.490919475052607,-0.120774230104814,-0.120774230104814,-0.0128246330264972,0.174900330211216,DDA for preferred ion,C2H5;C2H6;C4H7;CH3;CH3CH=CH2;CH4;H2;H2C=CH2,0.0,8557169.30386888,0.0,249279.408263171,1000.0,16.020996932242,1000.0,6.12711376292205,16,14,0,0,0,0,0,0,0.875,0.0,0.0,0.0,0.0,0,0.0,10.0,-0.875,10.0,10.0,16,0.625,darkorange,206,0.12077451070589973,-0.036812872448479084,0.013354729501486418,-0.1468105341427588,0.4909201412225457,-0.15702394977734002,0.011530172086395396,-0.1748998625573961,-0.1748998625573961,-0.289414408692096,-0.2512287616725075,-0.2929549219461478,-0.3226736927659317,0.21201153617690238,CH,2,0,8806448.71213205,0.0,8557169.30386888,16.020996932242,249279.408263171,6.12711376292205,0.000465902975293389,-5.10129801565898,#a6611a,0.0,None,Ruthenium2,0072,Ruthenium2_0072,None,None,None,,0.12077451070589973,0.18345202207177636,0.08801337779709684,-0.004195279240491345,0.29304588646837715,-0.13557694572321566,-0.05753826705259257,0.039293904064749086,C9,7,7.705671838501417,C16 H14,0,6.867899775338128,C16 H14,0,4.6815187639607165,C16 H14,0,7.362392536362228,C16,7,95.25462945446213,C16 H14,0,4.685391010061794,C16 H14,0,11.44381389851578,C16 H14,0,12.885942523196848,C16 H14,0,6.442971261598424,C16 H14,0,6.4465498442982225,C16 H14,0,4.296904361189407,C16 H14,0,5.894089586682769,C16 H14,0,2.6116817003890618,C16 H14,0,12.105186390215865,C10 H2,3,4.352835919250709,C13 H6,1,3.677652913017706,C16 H14,0,3.4318694483435235,C16 H14,0,2.512248483394863,C13 H2,3,9.856695888276981,C16 H14,0,5.153393935497192,C16 H14,0,4.906136158878412,C16 H14,0,3.551049765810314
73,73,,,C15 H28 O2,Full match,No results,Partial match,-0.92,240.20871,9.033,9477433.23348476,899,0,,,0.208707904414069,869,0.343661602068039,-0.0595123119250616,-0.0595123119250616,0.0662967825663543,0.285079513373887,No MS2,,6030215.77788165,0.0,9326440.90043622,0.0,47.7445487639578,1000.0,2.28957013174949,1000.0,15,28,0,2,0,0,0,0,1.86666666666666,0.133333333333333,0.0,0.0,0.0,0,0.0,2.0,-1.6,2.0,0.0,13,0.0,royalblue,240,0.059510295031913074,-0.12414880799568095,-0.06568133051905534,-0.25234480616211385,-0.3436631540036501,-0.264247959300036,-0.06780774807589296,-0.2850813156339598,-0.2850813156339598,-0.41854148487928455,-0.37403829217586804,-0.42266775105289867,-0.4573032826709209,0.16584184217427378,CHO,0,1,0.0,15356656.6783178,6030215.77788165,47.7445487639578,9326440.90043622,2.28957013174949,0.119133815621801,0.629117006918764,#d9d9d9,0.0,None,Ruthenium2,0073,Ruthenium2_0073,None,None,None,,0.059510295031913074,0.13255735810918168,0.021329063998308584,-0.08613486429291584,0.2602827535661447,-0.23925269985494424,-0.14830307280226407,-0.03545070267182382,C O2,14,3.138622114338216,C13 H24,2,6.004145629069292,C11 H20,2,3.4560432122958877,C13 H28,2,6.580448749561844,C15 O2,14,105.17194079317179,C13 H28,2,4.187765765149432,C15 H24,2,11.337112653362484,C15 H28,2,13.017831345450325,C15 H28,1,6.508915672725163,C15 H28 O2,0,7.513086306836293,C15 H28 O2,0,5.0077970538598455,C15 H28 O2,0,6.869225373963329,C15 H28 O2,0,3.0437661221781855,C15 H28 O2,0,14.107904585655536,C O2,7,1.569311057169108,C6 H4 O2,3,2.451537783425297,C9 H12,2,1.9996481811126696,C5 H16,2,0.9278823767504604,C8 O2,7,7.98374605988756,C11 H28,2,4.005986821735653,C11 H24,2,3.7178219799767085,C9 H16,2,2.1385460463011494
74,74,,,C19 H14,Full match,No results,Partial match,-1.11,242.10928,11.607,9398003.01230275,108,0,,,0.109281674748331,451,0.229478796283047,-0.161060747368822,-0.161060747368822,-0.0342562290763908,0.186257549382162,DDA for preferred ion,CH3;CH4;H;H2;H2C=CH2,0.0,8497105.9085311,0.0,21309.6546149428,1000.0,14.9940569903614,1000.0,7.5397548835117,19,14,0,0,0,0,0,0,0.736842105263157,0.0,0.0,0.0,0.0,0,0.0,13.0,-0.736842105263157,13.0,13.0,19,0.684210526315789,orangered,242,0.16106249720405685,-0.024049746225671242,0.034880335349157576,-0.15326005177598745,-0.22947660298561345,-0.1652573845786094,0.0327370932340898,-0.18625557778315738,-0.18625557778315738,-0.32077170538178734,-0.2759163962502953,-0.3249306192379038,-0.3598401927603163,0.2682353566724771,CH,2,0,8518415.56314604,0.0,8497105.9085311,14.9940569903614,21309.6546149428,7.5397548835117,0.000323929709443841,-8.63932052639547,#a6611a,0.0,None,Ruthenium2,0074,Ruthenium2_0074,None,None,None,,0.16106249720405685,0.2346875204088974,0.12257917012129838,0.014264969921953252,0.36342349976530386,-0.14006435861526256,-0.0483951234655251,0.06535015279266077,C12,7,10.27422911800189,C19 H14,0,8.067477336741272,C19 H14,0,5.499213408064426,C19 H14,0,8.648340376861588,C19,7,113.11487247717378,C19 H14,0,5.503761997689292,C19 H14,0,13.442640733296884,C19 H14,0,15.136657882186855,C19 H14,0,7.568328941093427,C19 H14,0,7.572532574776602,C19 H14,0,5.047420563200283,C19 H14,0,6.923577180324375,C19 H14,0,3.0678495053654644,C19 H14,0,14.219531451343485,C13 H2,3,5.637114559000945,C16 H6,1,4.494672330604042,C19 H14,0,4.031294850368292,C19 H14,0,2.951048845649885,C16 H2,3,12.102302901463455,C19 H14,0,6.053508371105582,C19 H14,0,5.763063464444603,C19 H14,0,4.171291725919906
75,75,,,C13 H10 O4,Full match,No results,Partial match,-1.73,230.05751,1.567,9128094.14559837,641,0,,,0.0575104645653823,250,0.27128084382403,-0.199374790617782,-0.199374790617782,-0.0788823766457938,0.130654616502028,DDA for preferred ion,CO2,7755982.97652602,0.0,527631.467769441,0.0,25.0188561560624,1000.0,65.4897318926474,1000.0,13,10,0,4,0,0,0,0,0.769230769230769,0.307692307692307,0.0,0.0,0.0,0,0.0,9.0,-0.153846153846153,9.0,5.0,9,0.555555555555555,darkorange,230,0.1993753277906194,0.023477643100648038,0.07947428986773275,-0.09930080290212118,-0.2712798777730825,-0.11070092978371804,0.07743773453904623,-0.13065387022092523,-0.13065387022092523,-0.2584740238729637,-0.21585153237214172,-0.2624259143830727,-0.2955977513309449,0.3012133126414085,CHO,0,0,0.0,8283614.44429546,7755982.97652602,25.0188561560624,527631.467769441,65.4897318926474,0.00314724629899407,-3.87770712276976,#a6611a,0.0,None,Ruthenium2,0075,Ruthenium2_0075,None,None,None,,0.1993753277906194,0.2693354280899314,0.16280763238802365,0.059885120720991836,0.3916631590143709,-0.08676196791284951,0.00034413550514500457,0.1084273739098478,C8 O4,5,11.414358787677376,C9 H2,4,3.6658973672362913,C9 H2 O2,2,3.2254755516648284,C9 H10,4,4.2178464169973475,C13 O4,5,109.13583779097755,C9 H10,4,2.684217064821878,C13 H2,4,8.773497824006194,C13 H10,4,10.383190799849656,C13 H10,2,5.191595399924828,C13 H10 O4,0,7.195589786650641,C13 H10 O4,0,4.796171887654882,C13 H10 O4,0,6.578937859148032,C13 H10 O4,0,2.9151392020839464,C13 H10 O4,0,13.511716756829301,C9 H2 O4,2,6.207179393838689,C10 H2 O4,1,4.221160518316123,C10 H2 O3,1,2.8306265131045882,C8 H4 O3,1,1.804152603370203,C11 H2 O4,2,12.35054592893325,C5 H10,4,1.7521790204800152,C5 H2,4,1.4761917753520408,C10 H4 O3,1,2.963654674810701
76,76,,,C23 H44 O4,Full match,No results,Partial match,0.63,384.3242,12.067,9107913.78054737,10,0,,,0.324201678828103,844,0.340203148981232,-0.104939801586795,-0.104939801586795,0.0963496530135899,0.446393159313857,No MS2,,1074553.25810123,0.0,8062747.93407361,0.0,13.4225907020255,1000.0,18.3323071376926,1000.0,23,44,0,4,0,0,0,0,1.91304347826087,0.17391304347826,0.0,0.0,0.0,0,0.0,2.0,-1.56521739130434,2.0,-2.0,19,0.0,royalblue,384,0.10494160070174985,-0.18890552017825257,-0.09535992598551957,-0.3940139212787699,-0.3402006394020418,-0.4130584838477489,-0.09876210788979733,-0.44639100957653,-0.44639100957653,0.3400781289610677,0.41128143350897517,0.3334762703266847,0.27806082356511297,0.2750677663609622,CHO,0,2,0.0,9137301.19217484,1074553.25810123,13.4225907020255,8062747.93407361,18.3323071376926,0.00123340105305535,2.90753463094008,#d9d9d9,0.0,None,Ruthenium2,0076,Ruthenium2_0076,None,None,None,,0.10494160070174985,0.22181394092422124,0.043853178587482944,-0.1280847510129206,0.42616939676372567,-0.3730670818289923,-0.22755136486216543,-0.04699214672012886,C O4,22,5.421058468842941,C19 H36,4,8.806288850036749,C15 H28,4,4.7294345446670825,C19 H44,4,9.728349063359392,C23 O4,22,168.66998120001637,C19 H44,4,6.191074303507442,C23 H36,4,17.338806785840575,C23 H44,4,20.027884426852413,C23 H44,2,10.013942213426207,C23 H44 O4,0,12.020615048678101,C23 H44 O4,0,8.012259964534064,C23 H44 O4,0,10.990465240348831,C23 H44 O4,0,4.869894921827219,C23 H44 O4,0,22.572040735554527,C O4,11,2.7105292344214704,C8 H4 O4,5,3.7222260521953134,C11 H12,4,2.3992651157958487,C3 H20,4,0.6844859118284682,C12 O4,11,12.973349435526487,C15 H44,4,5.60932067369249,C15 H36,4,5.148269317181967,C11 H20,4,2.6214957278673037
77,77,,,C19 H18,Full match,No results,Partial match,-1.24,246.14054,12.143,8994866.11222628,5753,0,,,0.140544124103542,571,0.229441418123486,-0.134299658916461,-0.134299658916461,-0.00538377054576245,0.218801692486466,DDA for preferred ion,C2H5;C2H6;C3H7;C4H10;C4H7;C4H8;C4H9;CH3;CH3CH=CH2;CH4;H2C=CH2,0.0,7741635.70981688,0.0,87722.6982896783,1000.0,22.893552451948,1000.0,18.3149501157262,19,18,0,0,0,0,0,0,0.947368421052631,0.0,0.0,0.0,0.0,0,0.0,11.0,-0.947368421052631,11.0,11.0,19,0.578947368421052,darkorange,246,0.1343038566533039,-0.05389061304401821,0.006020688584186473,-0.18525234515823286,-0.22943678563763115,-0.1974494405136511,0.0038417602443132637,-0.21879726581960313,-0.21879726581960313,-0.3555531649980139,-0.3099509889414378,-0.35978132718307165,-0.39527216536151855,0.24326120642072624,CH,2,0,7829358.40810655,0.0,7741635.70981688,22.893552451948,87722.6982896783,18.3149501157262,0.00170832844996679,-6.46354442258844,#a6611a,0.0,None,Ruthenium2,0077,Ruthenium2_0077,None,None,None,,0.1343038566533039,0.20915477921667502,0.09517975984402938,-0.014937934639760897,0.34003428733061014,-0.17183693604928862,-0.0786413549417091,0.03699784616878787,C10,9,8.561857598334909,C19 H18,0,8.201806702794995,C19 H18,0,5.590779311514217,C19 H18,0,8.792341535061295,C19,9,113.11487247717378,C19 H18,0,5.595403638465045,C19 H18,0,13.666470479873045,C19 H18,0,15.38869424654404,C19 H18,0,7.69434712327202,C19 H18,0,7.698620750513801,C19 H18,0,5.1314637871425886,C19 H18,0,7.038859776684624,C19 H18,0,3.1189314312268683,C19 H18,0,14.456296993496407,C11 H2,4,4.780928799167454,C13 H2,2,3.586162621810874,C19 H18,0,4.098418842047747,C19 H18,0,3.0001859555645742,C15 H2,4,11.353767230401298,C19 H18,0,6.154303688891995,C19 H18,0,5.859022663261382,C19 H18,0,4.2407467674129995
